Name,Season,MP,Gls,FK,xG,G-xG,Cmp%,TotDist,Ast,xA,A-xA,KP,CrsPA,Prog,Press from opp,Long Pass Cmp%,Medium Pass Cmp%,Short Pass Cmp%,SCA90,TklW,Press %,Dribbles Succ,Carries Prog,Receiving Rec,Receiving Prog
Hugo Lloris,2021-2022,31,,,,,79.2,16713,0,0.5,-0.5,3,0,0,48,56.8,99.6,98.7,0.19,0,25.0,0,0,294,0
Ben Davies,2021-2022,22,1,0,1.5,-0.5,85.5,18688,1,0.5,+0.5,6,0,78,120,57.2,91.4,91.4,0.89,15,33.3,4,126,956,20
Eric Dier,2021-2022,28,0,4,0.9,-0.9,88.8,33695,0,1.3,-1.3,7,0,75,133,72.0,94.1,94.6,0.85,10,34.8,0,71,1459,4
Emerson,2021-2022,24,1,0,1.0,0.0,80.9,13752,1,1.9,-0.9,23,7,64,160,52.5,82.2,89.9,2.20,32,26.2,13,99,751,68
Sergio Reguilon,2021-2022,24,2,0,3.0,-1.0,75.4,12664,3,4.0,-1.0,30,20,52,90,53.5,78.4,84.8,2.56,26,28.8,18,98,731,78
Davinson Sanchez,2021-2022,18,2,0,2.0,0.0,88.7,15090,0,0.1,-0.1,2,1,43,86,69.8,94.0,94.4,0.88,18,36.3,2,71,685,4
Cristian Romero,2021-2022,18,1,0,0.6,+0.4,88.2,18247,0,0.3,-0.3,5,0,42,133,71.8,94.0,92.3,0.85,39,35.6,5,54,829,7
Matt Doherty,2021-2022,15,2,0,2.5,-0.5,81.8,7429,4,1.8,+2.2,14,4,36,70,61.7,85.0,89.1,2.37,12,33.9,6,65,425,40
Japhet Tanganga,2021-2022,11,0,0,0.4,-0.4,82.6,5889,0,0.4,-0.4,2,1,18,41,58.8,84.7,88.6,0.37,12,32.7,3,35,310,12
Pierre Hojbjerg,2021-2022,29,2,1,1.9,+0.1,89.0,34069,2,1.9,+0.1,22,2,156,247,75.9,91.8,92.7,2.03,43,26.9,32,117,1666,40
Oliver Skipp,2021-2022,18,0,0,0.2,-0.2,89.5,13204,0,0.9,-0.9,7,1,69,97,76.8,92.5,93.2,1.47,18,25.8,2,85,690,13
Harry Winks,2021-2022,15,0,0,0.1,-0.1,86.4,10703,1,1.5,-0.5,11,0,66,82,70.8,89.3,92.9,2.41,5,21.7,5,45,556,12
Rodrigo Bentancur,2021-2022,10,0,0,0.2,-0.2,89.7,10267,1,0.8,+0.2,7,0,43,84,86.9,91.2,94.5,2.20,11,24.9,8,39,528,8
Harry Kane,2021-2022,30,12,8,15.1,-3.1,70.9,11151,8,7.7,+0.3,41,6,98,213,65.2,74.8,78.8,3.32,8,29.5,52,115,913,232
Son Heung min,2021-2022,28,17,2,12.1,+4.9,77.0,11973,6,7.1,-1.1,55,3,61,153,38.0,83.9,90.7,3.81,8,25.3,43,153,896,212
Lucas Moura,2021-2022,28,2,0,3.3,-1.3,75.7,7845,5,3.6,+1.4,27,3,73,140,43.1,75.7,86.5,3.04,12,25.2,36,125,699,90
Dejan Kulusevski,2021-2022,11,3,0,2.4,+0.6,84.7,4119,6,3.1,+2.9,19,4,28,59,58.8,86.3,92.0,3.54,7,24.5,18,73,317,65
Steven Bergwijn,2021-2022,20,3,0,2.8,+0.2,82.8,1858,1,0.6,+0.4,7,0,14,28,60.0,79.1,91.7,2.98,4,17.1,10,35,191,57
